order,sample_species,pie_type,latitude,longitude,count
0,Apis mellifera,pie_Am,43.8711,126.5803,33
0,Apis d.binghami,pie_Ad,-5.06681,119.832,20
0,Apis nigrocincta,pie_Ani,-5.06681,119.832,19
0,Apis nuluensis,pie_Anu,5.52805,116.50638,17
1,Apis cerana,pie_Ac,29.85944,95.76826,14
0,Apis nuluensis,pie_Anu,6.02664,116.60124,13
1,Apis cerana,pie_Ac,33.65706,107.56796,12
1,Apis cerana,pie_Ac,43.4507,128.78045,12
0,Apis nuluensis,pie_Anu,5.81299,116.33814,10
0,Apis nuluensis,pie_Anu,5.82981,116.3417,10
1,Apis cerana,pie_Ac,19.175278,109.743611,10
1,Apis cerana,pie_Ac,37.5236,114.0907,9
1,Apis cerana,pie_Ac,6.02664,116.60124,9
0,Apis nuluensis,pie_Anu,5.84493,116.32554,8
0,Apis koschevnikovi,pie_Ak,5.293832,116.0419,7
0,Apis dorsata,pie_Ad,5.44321,116.45129,7
0,Apis andreniformis,pie_Aa,21.72562,101.58658,6
0,Apis koschevnikovi,pie_Ak,4.467645,117.375604,6
0,Apis koschevnikovi,pie_Ak,5.31708,116.07588,6
0,Apis dorsata,pie_Ad,21.9272627,101.253068,6
1,Apis cerana,pie_Ac,21.613611,101.565278,6
1,Apis cerana,pie_Ac,22.588889,114.4575,6
1,Apis cerana,pie_Ac,23.5207,103.3979,6
1,Apis cerana,pie_Ac,25.126818,121.726145,6
1,Apis cerana,pie_Ac,29.01779,115.49205,6
1,Apis cerana,pie_Ac,29.3494,110.5537,6
1,Apis cerana,pie_Ac,29.417778,105.610833,6
1,Apis cerana,pie_Ac,31.924636,102.113214,6
1,Apis cerana,pie_Ac,32.52392,104.59216,6
1,Apis cerana,pie_Ac,33.66579,107.57678,6
1,Apis cerana,pie_Ac,34.3505,105.9898,6
1,Apis cerana,pie_Ac,36.0264,101.4033,6
1,Apis cerana,pie_Ac,40.6117,120.75,6
0,Apis laboriosa,pie_Al,27.50736,98.28076,5
0,Apis florea,pie_Af,21.51185,96.01194,5
0,Apis koschevnikovi,pie_Ak,5.86726,117.95511,5
0,Apis koschevnikovi,pie_Ak,6.91353,116.74559,5
1,Apis cerana,pie_Ac,5.82981,116.3417,5
0,Apis laboriosa,pie_Al,23.925065,101.588994,4
0,Apis laboriosa,pie_Al,24.15788,101.43172,4
0,Apis florea,pie_Af,21.72562,101.58658,4
1,Apis cerana,pie_Ac,36.047225,101.43906,4
0,Apis florea,pie_Af,22.1286,100.676666,3
0,Andrena sp,pie_other,29.100556,117.974722,3
0,Apis andreniformis,pie_Aa,5.44997,116.3124,3
1,Apis cerana,pie_Ac,27.11339,103.39605,3
1,Apis cerana,pie_Ac,32.53011,104.47551,3
1,Apis cerana,pie_Ac,32.53063,104.57895,3
1,Apis cerana,pie_Ac,32.53156,104.47321,3
1,Apis cerana,pie_Ac,32.53402,104.47208,3
1,Apis cerana,pie_Ac,32.96745,104.10421,3
0,Apis florea,pie_Af,21.9272627,101.253068,2
0,Apis florea,pie_Af,24.04643,101.59997,2
0,Evylaeus calceatum,pie_other,29.100556,117.974722,2
0,Halictus arearius,pie_other,40.03024,115.83848,2
0,Lepidotrigona terminata,pie_other,16.7447497,100.18292,2
0,Apis andreniformis,pie_Aa,21.9272627,101.253068,2
0,Apis dorsata,pie_Ad,21.927586,101.2547,2
0,Apis dorsata,pie_Ad,22.1286,100.676666,2
1,Apis cerana,pie_Ac,18.2615,109.5243,2
1,Apis cerana,pie_Ac,19.295833,109.7225,2
1,Apis cerana,pie_Ac,32.5286,104.58438,2
1,Apis cerana,pie_Ac,5.44321,116.45129,2
0,Apis mellifera,pie_Am,29.100556,117.974722,1
0,Andrena sp,pie_other,31.258889,116.853611,1
0,Eucera pekingensis,pie_other,40.03024,115.83848,1
0,Evylaeus sp,pie_other,29.100556,117.974722,1
0,Megachile leachella,pie_other,40.03024,115.83848,1
0,Megachile stulta,pie_other,16.7447497,100.18292,1
0,Polistes antennalis,pie_other,40.03024,115.83848,1
0,unkown,pie_other,16.7447497,100.18292,1
0,Xylocopa sp,pie_other,29.100556,117.974722,1
0,Apis nuluensis,pie_Anu,6.01182,116.53441,1
0,Apis nuluensis,pie_Anu,6.03021,116.60163,1
0,Apis andreniformis,pie_Aa,21.928333,101.248056,1
0,Apis koschevnikovi,pie_Ak,4.3972,117.888242,1
0,Apis koschevnikovi,pie_Ak,5.43115,116.44528,1
1,Apis cerana,pie_Ac,19.5433,110.7977,1
1,Apis cerana,pie_Ac,20.054622,110.594062,1
1,Apis cerana,pie_Ac,34.0836,74.797,1
1,Apis cerana,pie_Ac,5.52805,116.50638,1